127.0.0.1 - - [29/May/2024:14:51:51 +0700] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [29/May/2024:14:51:52 +0700] "GET /WebCosmeticShop/ HTTP/1.1" 200 4948
0:0:0:0:0:0:0:1 - - [29/May/2024:14:51:52 +0700] "GET /WebCosmeticShop/assets/vendor/bootstrap/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/May/2024:14:51:52 +0700] "GET /WebCosmeticShop/assets/vendor/bootstrap-icons/bootstrap-icons.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/May/2024:14:51:52 +0700] "GET /WebCosmeticShop/assets/vendor/quill/quill.snow.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/May/2024:14:51:52 +0700] "GET /WebCosmeticShop/assets/vendor/remixicon/remixicon.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/May/2024:14:51:52 +0700] "GET /WebCosmeticShop/assets/vendor/quill/quill.bubble.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/May/2024:14:51:52 +0700] "GET /WebCosmeticShop/assets/vendor/simple-datatables/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/May/2024:14:51:52 +0700] "GET /WebCosmeticShop/assets/vendor/boxicons/css/boxicons.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/May/2024:14:51:52 +0700] "GET /WebCosmeticShop/assets/vendor/apexcharts/apexcharts.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/May/2024:14:51:52 +0700] "GET /WebCosmeticShop/assets/vendor/bootstrap/js/bootstrap.bundle.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/May/2024:14:51:52 +0700] "GET /WebCosmeticShop/assets/vendor/chart.js/chart.umd.js HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [29/May/2024:14:51:52 +0700] "GET /WebCosmeticShop/assets/vendor/quill/quill.js HTTP/1.1" 404 811
