0:0:0:0:0:0:0:1 - - [25/Jun/2024:23:52:54 +0700] "GET /WebCosmticShopUser/style.css HTTP/1.1" 200 22221
0:0:0:0:0:0:0:1 - - [25/Jun/2024:23:52:54 +0700] "GET /WebCosmticShopUser/script.js HTTP/1.1" 200 417
0:0:0:0:0:0:0:1 - - [25/Jun/2024:23:52:54 +0700] "GET /WebCosmticShopUser/logo.jpg HTTP/1.1" 200 134365
0:0:0:0:0:0:0:1 - - [25/Jun/2024:23:52:54 +0700] "GET /WebCosmticShopUser/slide.jpg HTTP/1.1" 200 279787
0:0:0:0:0:0:0:1 - - [25/Jun/2024:23:52:54 +0700] "GET /WebCosmticShopUser/slide2.jpg HTTP/1.1" 200 213270
0:0:0:0:0:0:0:1 - - [25/Jun/2024:23:52:54 +0700] "GET /WebCosmticShopUser/slide3.jpg HTTP/1.1" 200 65198
0:0:0:0:0:0:0:1 - - [25/Jun/2024:23:52:56 +0700] "GET /WebCosmticShopUser/ShowCartServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/Jun/2024:23:52:56 +0700] "GET /WebCosmticShopUser/login.jsp?error=1 HTTP/1.1" 200 4386
0:0:0:0:0:0:0:1 - - [25/Jun/2024:23:53:12 +0700] "POST /WebCosmticShopUser/CheckLoginServlet HTTP/1.1" 200 4389
0:0:0:0:0:0:0:1 - - [25/Jun/2024:23:53:14 +0700] "POST /WebCosmticShopUser/CheckLoginServlet HTTP/1.1" 200 4389
0:0:0:0:0:0:0:1 - - [25/Jun/2024:23:53:19 +0700] "POST /WebCosmticShopUser/CheckLoginServlet HTTP/1.1" 200 6419
0:0:0:0:0:0:0:1 - - [25/Jun/2024:23:53:21 +0700] "GET /WebCosmticShopUser/ShowProductListServlet HTTP/1.1" 200 14101
0:0:0:0:0:0:0:1 - - [25/Jun/2024:23:53:24 +0700] "GET /WebCosmticShopUser/ShowProductDetailServlet?productGroupID=NS0001%20%20%20%20&productID=SP0001 HTTP/1.1" 200 24116
0:0:0:0:0:0:0:1 - - [25/Jun/2024:23:53:26 +0700] "POST /WebCosmticShopUser/AddToCart HTTP/1.1" 200 7
0:0:0:0:0:0:0:1 - - [25/Jun/2024:23:53:28 +0700] "GET /WebCosmticShopUser/ShowCartServlet HTTP/1.1" 200 19993
0:0:0:0:0:0:0:1 - - [25/Jun/2024:23:53:32 +0700] "POST /WebCosmticShopUser/ShowCheckoutServlet HTTP/1.1" 200 9645
0:0:0:0:0:0:0:1 - - [25/Jun/2024:23:53:57 +0700] "POST /WebCosmticShopUser/AuthorizePaymentServlet HTTP/1.1" 200 9223
0:0:0:0:0:0:0:1 - - [25/Jun/2024:23:54:04 +0700] "GET /WebCosmticShopUser/ShowHomeServlet HTTP/1.1" 200 6419
0:0:0:0:0:0:0:1 - - [25/Jun/2024:23:54:09 +0700] "POST /WebCosmticShopUser/AddToCart HTTP/1.1" 200 7
0:0:0:0:0:0:0:1 - - [25/Jun/2024:23:54:11 +0700] "GET /WebCosmticShopUser/ShowCartServlet HTTP/1.1" 200 19991
0:0:0:0:0:0:0:1 - - [25/Jun/2024:23:54:12 +0700] "POST /WebCosmticShopUser/ShowCheckoutServlet HTTP/1.1" 200 9645
0:0:0:0:0:0:0:1 - - [25/Jun/2024:23:54:14 +0700] "POST /WebCosmticShopUser/AuthorizePaymentServlet HTTP/1.1" 200 9207
0:0:0:0:0:0:0:1 - - [25/Jun/2024:23:54:16 +0700] "GET /WebCosmticShopUser/ShowHomeServlet HTTP/1.1" 200 6419
