127.0.0.1 - - [23/Jun/2024:23:41:57 +0700] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [23/Jun/2024:23:42:00 +0700] "GET /WebCosmticShopUser/ HTTP/1.1" 200 11743
0:0:0:0:0:0:0:1 - - [23/Jun/2024:23:42:00 +0700] "GET /WebCosmticShopUser/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jun/2024:23:42:00 +0700] "GET /WebCosmticShopUser/logo.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jun/2024:23:42:00 +0700] "GET /WebCosmticShopUser/slide.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jun/2024:23:42:00 +0700] "GET /WebCosmticShopUser/slide2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jun/2024:23:42:00 +0700] "GET /WebCosmticShopUser/slide3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jun/2024:23:42:00 +0700] "GET /WebCosmticShopUser/script.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jun/2024:23:42:00 +0700] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [23/Jun/2024:23:42:38 +0700] "GET /WebCosmticShopUser/ShowHomeServlet HTTP/1.1" 200 11743
0:0:0:0:0:0:0:1 - - [23/Jun/2024:23:42:38 +0700] "GET /WebCosmticShopUser/ShowProductListServlet HTTP/1.1" 200 8206
0:0:0:0:0:0:0:1 - - [23/Jun/2024:23:42:38 +0700] "GET /WebCosmticShopUser/ShowProductDetailServlet?productGroupID=NS0012%20%20%20%20&productID=SP0019 HTTP/1.1" 200 8206
0:0:0:0:0:0:0:1 - - [23/Jun/2024:23:42:38 +0700] "GET /WebCosmticShopUser/ShowProductDetailServlet?productGroupID=NS0012%20%20%20%20&productID=SP0019 HTTP/1.1" 200 8206
0:0:0:0:0:0:0:1 - - [23/Jun/2024:23:42:42 +0700] "GET /WebCosmticShopUser/ HTTP/1.1" 200 11743
0:0:0:0:0:0:0:1 - - [23/Jun/2024:23:42:43 +0700] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [23/Jun/2024:23:42:44 +0700] "GET /WebCosmticShopUser/ShowProductListServlet HTTP/1.1" 200 19278
0:0:0:0:0:0:0:1 - - [23/Jun/2024:23:42:47 +0700] "GET /WebCosmticShopUser/ShowProductDetailServlet?productGroupID=NS0006%20%20%20%20&productID=SP0009 HTTP/1.1" 200 26428
0:0:0:0:0:0:0:1 - - [23/Jun/2024:23:44:37 +0700] "GET /WebCosmticShopUser/ShowHomeServlet HTTP/1.1" 200 11743
0:0:0:0:0:0:0:1 - - [23/Jun/2024:23:44:38 +0700] "GET /WebCosmticShopUser/ShowProductDetailServlet?productGroupID=NS0006%20%20%20%20&productID=SP0009 HTTP/1.1" 200 8206
0:0:0:0:0:0:0:1 - - [23/Jun/2024:23:44:40 +0700] "GET /WebCosmticShopUser/ShowProductListServlet HTTP/1.1" 200 19278
0:0:0:0:0:0:0:1 - - [23/Jun/2024:23:44:42 +0700] "GET /WebCosmticShopUser/ShowHomeServlet HTTP/1.1" 200 11743
