127.0.0.1 - - [30/May/2024:00:15:39 +0700] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [30/May/2024:00:15:40 +0700] "GET /WebCosmticShopUser/ HTTP/1.1" 200 193591
0:0:0:0:0:0:0:1 - - [30/May/2024:00:15:40 +0700] "GET /WebCosmticShopUser/images/logo/logo-1.png HTTP/1.1" 404 804
0:0:0:0:0:0:0:1 - - [30/May/2024:00:15:41 +0700] "GET /WebCosmticShopUser/webfonts/fa-solid-900.woff2 HTTP/1.1" 404 805
0:0:0:0:0:0:0:1 - - [30/May/2024:00:15:41 +0700] "GET /WebCosmticShopUser/webfonts/fa-regular-400.woff2 HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [30/May/2024:00:15:41 +0700] "GET /WebCosmticShopUser/webfonts/fa-brands-400.woff2 HTTP/1.1" 404 806
0:0:0:0:0:0:0:1 - - [30/May/2024:00:15:41 +0700] "GET /WebCosmticShopUser/webfonts/fa-solid-900.woff HTTP/1.1" 404 804
0:0:0:0:0:0:0:1 - - [30/May/2024:00:15:41 +0700] "GET /WebCosmticShopUser/webfonts/fa-regular-400.woff HTTP/1.1" 404 806
0:0:0:0:0:0:0:1 - - [30/May/2024:00:15:41 +0700] "GET /WebCosmticShopUser/webfonts/fa-brands-400.woff HTTP/1.1" 404 805
0:0:0:0:0:0:0:1 - - [30/May/2024:00:15:41 +0700] "GET /WebCosmticShopUser/webfonts/fa-regular-400.ttf HTTP/1.1" 404 805
0:0:0:0:0:0:0:1 - - [30/May/2024:00:15:41 +0700] "GET /WebCosmticShopUser/webfonts/fa-brands-400.ttf HTTP/1.1" 404 804
0:0:0:0:0:0:0:1 - - [30/May/2024:00:15:41 +0700] "GET /WebCosmticShopUser/webfonts/fa-solid-900.ttf HTTP/1.1" 404 803
0:0:0:0:0:0:0:1 - - [30/May/2024:00:16:40 +0700] "GET /WebCosmticShopUser/shop.jsp HTTP/1.1" 200 184871
0:0:0:0:0:0:0:1 - - [30/May/2024:00:16:40 +0700] "GET /WebCosmticShopUser/images/logo/logo-1.png HTTP/1.1" 404 804
0:0:0:0:0:0:0:1 - - [30/May/2024:00:16:40 +0700] "GET /WebCosmticShopUser/webfonts/fa-regular-400.woff2 HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [30/May/2024:00:16:40 +0700] "GET /WebCosmticShopUser/webfonts/fa-brands-400.woff2 HTTP/1.1" 404 806
0:0:0:0:0:0:0:1 - - [30/May/2024:00:16:40 +0700] "GET /WebCosmticShopUser/webfonts/fa-solid-900.woff2 HTTP/1.1" 404 805
0:0:0:0:0:0:0:1 - - [30/May/2024:00:16:40 +0700] "GET /WebCosmticShopUser/webfonts/fa-regular-400.woff HTTP/1.1" 404 806
0:0:0:0:0:0:0:1 - - [30/May/2024:00:16:40 +0700] "GET /WebCosmticShopUser/webfonts/fa-brands-400.woff HTTP/1.1" 404 805
0:0:0:0:0:0:0:1 - - [30/May/2024:00:16:40 +0700] "GET /WebCosmticShopUser/webfonts/fa-solid-900.woff HTTP/1.1" 404 804
0:0:0:0:0:0:0:1 - - [30/May/2024:00:16:40 +0700] "GET /WebCosmticShopUser/webfonts/fa-brands-400.ttf HTTP/1.1" 404 804
0:0:0:0:0:0:0:1 - - [30/May/2024:00:16:40 +0700] "GET /WebCosmticShopUser/webfonts/fa-regular-400.ttf HTTP/1.1" 404 805
0:0:0:0:0:0:0:1 - - [30/May/2024:00:16:40 +0700] "GET /WebCosmticShopUser/webfonts/fa-solid-900.ttf HTTP/1.1" 404 803
0:0:0:0:0:0:0:1 - - [30/May/2024:01:39:44 +0700] "GET /WebCosmticShopUser/productDetail.jsp HTTP/1.1" 200 210733
0:0:0:0:0:0:0:1 - - [30/May/2024:01:39:44 +0700] "GET /WebCosmticShopUser/images/logo/logo-1.png HTTP/1.1" 404 804
0:0:0:0:0:0:0:1 - - [30/May/2024:01:39:45 +0700] "GET /WebCosmticShopUser/images/product/electronic/product30.jpg HTTP/1.1" 200 9813
0:0:0:0:0:0:0:1 - - [30/May/2024:01:39:45 +0700] "GET /WebCosmticShopUser/webfonts/fa-solid-900.woff2 HTTP/1.1" 404 805
0:0:0:0:0:0:0:1 - - [30/May/2024:01:39:45 +0700] "GET /WebCosmticShopUser/webfonts/fa-brands-400.woff2 HTTP/1.1" 404 806
0:0:0:0:0:0:0:1 - - [30/May/2024:01:39:45 +0700] "GET /WebCosmticShopUser/webfonts/fa-regular-400.woff2 HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [30/May/2024:01:39:45 +0700] "GET /WebCosmticShopUser/webfonts/fa-brands-400.woff HTTP/1.1" 404 805
0:0:0:0:0:0:0:1 - - [30/May/2024:01:39:45 +0700] "GET /WebCosmticShopUser/webfonts/fa-regular-400.woff HTTP/1.1" 404 806
0:0:0:0:0:0:0:1 - - [30/May/2024:01:39:45 +0700] "GET /WebCosmticShopUser/webfonts/fa-solid-900.woff HTTP/1.1" 404 804
0:0:0:0:0:0:0:1 - - [30/May/2024:01:39:45 +0700] "GET /WebCosmticShopUser/webfonts/fa-regular-400.ttf HTTP/1.1" 404 805
0:0:0:0:0:0:0:1 - - [30/May/2024:01:39:45 +0700] "GET /WebCosmticShopUser/webfonts/fa-solid-900.ttf HTTP/1.1" 404 803
0:0:0:0:0:0:0:1 - - [30/May/2024:01:39:45 +0700] "GET /WebCosmticShopUser/webfonts/fa-brands-400.ttf HTTP/1.1" 404 804
0:0:0:0:0:0:0:1 - - [30/May/2024:01:40:55 +0700] "GET /WebCosmticShopUser/productDetail.jsp?color=on&size=on HTTP/1.1" 200 210733
0:0:0:0:0:0:0:1 - - [30/May/2024:01:40:56 +0700] "GET /WebCosmticShopUser/images/logo/logo-1.png HTTP/1.1" 404 804
0:0:0:0:0:0:0:1 - - [30/May/2024:01:40:56 +0700] "GET /WebCosmticShopUser/webfonts/fa-regular-400.woff2 HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [30/May/2024:01:40:56 +0700] "GET /WebCosmticShopUser/webfonts/fa-brands-400.woff2 HTTP/1.1" 404 806
0:0:0:0:0:0:0:1 - - [30/May/2024:01:40:56 +0700] "GET /WebCosmticShopUser/webfonts/fa-solid-900.woff2 HTTP/1.1" 404 805
0:0:0:0:0:0:0:1 - - [30/May/2024:01:40:56 +0700] "GET /WebCosmticShopUser/webfonts/fa-solid-900.woff HTTP/1.1" 404 804
0:0:0:0:0:0:0:1 - - [30/May/2024:01:40:56 +0700] "GET /WebCosmticShopUser/webfonts/fa-regular-400.woff HTTP/1.1" 404 806
0:0:0:0:0:0:0:1 - - [30/May/2024:01:40:56 +0700] "GET /WebCosmticShopUser/webfonts/fa-brands-400.woff HTTP/1.1" 404 805
0:0:0:0:0:0:0:1 - - [30/May/2024:01:40:56 +0700] "GET /WebCosmticShopUser/webfonts/fa-regular-400.ttf HTTP/1.1" 404 805
0:0:0:0:0:0:0:1 - - [30/May/2024:01:40:56 +0700] "GET /WebCosmticShopUser/webfonts/fa-solid-900.ttf HTTP/1.1" 404 803
0:0:0:0:0:0:0:1 - - [30/May/2024:01:40:56 +0700] "GET /WebCosmticShopUser/webfonts/fa-brands-400.ttf HTTP/1.1" 404 804
0:0:0:0:0:0:0:1 - - [30/May/2024:01:41:01 +0700] "GET /WebCosmticShopUser/cart.jsp HTTP/1.1" 200 146640
0:0:0:0:0:0:0:1 - - [30/May/2024:01:41:01 +0700] "GET /WebCosmticShopUser/images/logo/logo-1.png HTTP/1.1" 404 804
0:0:0:0:0:0:0:1 - - [30/May/2024:01:41:01 +0700] "GET /WebCosmticShopUser/webfonts/fa-solid-900.woff2 HTTP/1.1" 404 805
0:0:0:0:0:0:0:1 - - [30/May/2024:01:41:01 +0700] "GET /WebCosmticShopUser/webfonts/fa-regular-400.woff2 HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [30/May/2024:01:41:01 +0700] "GET /WebCosmticShopUser/webfonts/fa-brands-400.woff2 HTTP/1.1" 404 806
