127.0.0.1 - - [02/Jun/2024:19:16:47 +0700] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [02/Jun/2024:19:16:48 +0700] "GET /WebCosmeticShop/ HTTP/1.1" 200 4948
0:0:0:0:0:0:0:1 - - [02/Jun/2024:19:16:49 +0700] "GET /WebCosmeticShop/assets/vendor/bootstrap/css/bootstrap.min.css HTTP/1.1" 200 232803
0:0:0:0:0:0:0:1 - - [02/Jun/2024:19:16:49 +0700] "GET /WebCosmeticShop/assets/vendor/remixicon/remixicon.css HTTP/1.1" 200 138761
0:0:0:0:0:0:0:1 - - [02/Jun/2024:19:16:49 +0700] "GET /WebCosmeticShop/assets/vendor/bootstrap-icons/bootstrap-icons.css HTTP/1.1" 200 98255
0:0:0:0:0:0:0:1 - - [02/Jun/2024:19:16:49 +0700] "GET /WebCosmeticShop/assets/vendor/boxicons/css/boxicons.min.css HTTP/1.1" 200 68028
0:0:0:0:0:0:0:1 - - [02/Jun/2024:19:16:49 +0700] "GET /WebCosmeticShop/assets/vendor/quill/quill.bubble.css HTTP/1.1" 200 25216
0:0:0:0:0:0:0:1 - - [02/Jun/2024:19:16:49 +0700] "GET /WebCosmeticShop/assets/vendor/quill/quill.snow.css HTTP/1.1" 200 24606
0:0:0:0:0:0:0:1 - - [02/Jun/2024:19:16:49 +0700] "GET /WebCosmeticShop/assets/vendor/apexcharts/apexcharts.min.js HTTP/1.1" 200 525803
0:0:0:0:0:0:0:1 - - [02/Jun/2024:19:16:49 +0700] "GET /WebCosmeticShop/assets/vendor/simple-datatables/style.css HTTP/1.1" 200 4873
0:0:0:0:0:0:0:1 - - [02/Jun/2024:19:16:49 +0700] "GET /WebCosmeticShop/assets/img/logo.png HTTP/1.1" 200 738
0:0:0:0:0:0:0:1 - - [02/Jun/2024:19:16:49 +0700] "GET /WebCosmeticShop/assets/vendor/bootstrap/js/bootstrap.bundle.min.js HTTP/1.1" 200 80721
0:0:0:0:0:0:0:1 - - [02/Jun/2024:19:16:49 +0700] "GET /WebCosmeticShop/assets/vendor/quill/quill.js HTTP/1.1" 404 811
0:0:0:0:0:0:0:1 - - [02/Jun/2024:19:16:49 +0700] "GET /WebCosmeticShop/assets/vendor/echarts/echarts.min.js HTTP/1.1" 200 1029203
